dateTime,token_old,token
2020-01-25 00:50:00 UTC,Change,change
2020-01-25 00:50:00 UTC,compared,compared
2020-01-25 00:50:00 UTC,warming,warming
2020-01-25 00:50:00 UTC,greenhouse,greenhouse
2020-01-25 00:50:00 UTC,Climate,climate
2020-01-25 00:50:00 UTC,tackle,tackle
2020-01-25 00:50:00 UTC,emissions,emissions
2020-01-25 00:50:00 UTC,climate,climate
2020-01-25 00:50:00 UTC,exacerbate,exacerbate
2020-01-25 00:50:00 UTC,change,change
2020-01-25 00:49:00 UTC,emissions,emissions
2020-01-25 00:49:00 UTC,change,change
2020-01-25 00:49:00 UTC,warming,warming
2020-01-25 00:49:00 UTC,greenhouse,greenhouse
2020-01-25 00:49:00 UTC,considerations,considerations
2020-01-25 00:49:00 UTC,climate,climate
2020-01-25 00:49:00 UTC,score,score
2020-01-25 00:48:00 UTC,change,change
2020-01-25 00:48:00 UTC,Change,change
2020-01-25 00:48:00 UTC,Climate,climate
2020-01-25 00:48:00 UTC,caused,caused
2020-01-25 00:48:00 UTC,gases,gases
2020-01-25 00:48:00 UTC,Climate,climate
2020-01-25 00:48:00 UTC,gases,gases
2020-01-25 00:48:00 UTC,causing,causing
2020-01-25 00:48:00 UTC,Greenhouse,greenhouse
2020-01-25 00:48:00 UTC,increase,increase
2020-01-25 00:48:00 UTC,address,address
2020-01-25 00:48:00 UTC,change,change
2020-01-25 00:48:00 UTC,greenhouse,greenhouse
2020-01-25 00:48:00 UTC,warming,warming
2020-01-25 00:48:00 UTC,gases,gases
2020-01-25 00:48:00 UTC,change,change
2020-01-25 00:48:00 UTC,climate,climate
2020-01-25 00:48:00 UTC,Hub,hub
2020-01-25 00:48:00 UTC,trap,trap
2020-01-25 00:47:00 UTC,climate,climate
2020-01-25 00:47:00 UTC,warming,warming
2020-01-25 00:47:00 UTC,change,change
2020-01-25 00:47:00 UTC,carbon,carbon
2020-01-25 00:47:00 UTC,Combating,combating
2020-01-25 00:47:00 UTC,poses,poses
2020-01-25 00:34:00 UTC,emissions,emissions
2020-01-25 00:34:00 UTC,warming,warming
2020-01-25 00:34:00 UTC,climate,climate
2020-01-25 00:34:00 UTC,combat,combat
2020-01-25 00:34:00 UTC,change,change
2020-01-25 00:34:00 UTC,change,change
2020-01-25 00:34:00 UTC,redundant,redundant
2020-01-25 00:34:00 UTC,carbon,carbon
2020-01-25 00:34:00 UTC,tax,tax
2020-01-25 00:34:00 UTC,warming,warming
2020-01-25 00:34:00 UTC,Climate,climate
2020-01-25 00:34:00 UTC,Redundant,redundant
2020-01-25 00:34:00 UTC,Carbon,carbon
2020-01-25 00:33:00 UTC,change,change
2020-01-25 00:33:00 UTC,climate,climate
2020-01-25 00:33:00 UTC,change,change
2020-01-25 00:32:00 UTC,address,address
2020-01-25 00:32:00 UTC,climate,climate
2020-01-25 00:32:00 UTC,change,change
2020-01-25 00:32:00 UTC,communication,communication
2020-01-25 00:32:00 UTC,change,change
2020-01-25 00:21:00 UTC,climate,climate
2020-01-25 00:21:00 UTC,change,change
2020-01-25 00:20:00 UTC,Climate,climate
2020-01-25 00:20:00 UTC,change,change
2020-01-25 00:20:00 UTC,ignore,ignore
2020-01-25 00:20:00 UTC,plays,plays
2020-01-25 00:20:00 UTC,change,change
2020-01-25 00:20:00 UTC,gases,gases
2020-01-25 00:20:00 UTC,greenhouse,greenhouse
2020-01-25 00:20:00 UTC,accelerating,accelerating
2020-01-25 00:20:00 UTC,Change,change
2020-01-25 00:20:00 UTC,climate,climate
2020-01-25 00:20:00 UTC,change,change
2020-01-25 00:19:00 UTC,poses,poses
2020-01-25 00:19:00 UTC,climate,climate
2020-01-25 00:19:00 UTC,change,change
2020-01-25 00:19:00 UTC,warming,warming
2020-01-25 00:19:00 UTC,combating,combating
2020-01-25 00:18:00 UTC,fight,fight
2020-01-25 00:18:00 UTC,town,town
2020-01-25 00:18:00 UTC,change,change
2020-01-25 00:18:00 UTC,greenhouse,greenhouse
2020-01-25 00:18:00 UTC,stemming,stemming
2020-01-25 00:18:00 UTC,activist,activist
2020-01-25 00:18:00 UTC,climate,climate
2020-01-25 00:18:00 UTC,Climate,climate
2020-01-25 00:18:00 UTC,CNN,cnn
2020-01-25 00:18:00 UTC,change,change
2020-01-25 00:18:00 UTC,reduce,reduce
2020-01-25 00:18:00 UTC,declare,declare
2020-01-25 00:18:00 UTC,curb,curb
2020-01-25 00:18:00 UTC,combat,combat
2020-01-25 00:18:00 UTC,climate,climate
2020-01-25 00:18:00 UTC,gases,gases
2020-01-25 00:18:00 UTC,change,change
2020-01-25 00:18:00 UTC,Swedish,swedish
2020-01-25 00:18:00 UTC,Change,change
2020-01-25 00:18:00 UTC,warming,warming
2020-01-25 00:18:00 UTC,emitters,emitters
2020-01-25 00:17:00 UTC,feminist,feminist
2020-01-25 00:17:00 UTC,tackle,tackle
2020-01-25 00:17:00 UTC,climate,climate
2020-01-25 00:17:00 UTC,tackling,tackling
2020-01-25 00:17:00 UTC,change,change
2020-01-25 00:17:00 UTC,change,change
2020-01-25 00:17:00 UTC,advisers,advisers
2020-01-25 00:17:00 UTC,change,change
2020-01-25 00:17:00 UTC,believes,believes
2020-01-25 00:05:00 UTC,change,change
2020-01-25 00:05:00 UTC,Teach,teach
2020-01-25 00:05:00 UTC,require,require
2020-01-25 00:05:00 UTC,Change,change
2020-01-25 00:05:00 UTC,Swedish,swedish
2020-01-25 00:05:00 UTC,activist,activist
2020-01-25 00:05:00 UTC,climate,climate
2020-01-25 00:05:00 UTC,Mitigation,mitigation
2020-01-25 00:04:00 UTC,town,town
2020-01-25 00:04:00 UTC,tax,tax
2020-01-25 00:04:00 UTC,crisis,crisis
2020-01-25 00:04:00 UTC,looming,looming
2020-01-25 00:04:00 UTC,called,called
2020-01-25 00:04:00 UTC,take,take
2020-01-25 00:04:00 UTC,activists,activists
2020-01-25 00:04:00 UTC,carbon,carbon
2020-01-25 00:04:00 UTC,curb,curb
2020-01-25 00:04:00 UTC,declare,declare
2020-01-25 00:04:00 UTC,change,change
2020-01-25 00:04:00 UTC,greenhouse,greenhouse
2020-01-25 00:04:00 UTC,gas,gas
2020-01-25 00:04:00 UTC,crisis,crisis
2020-01-25 00:04:00 UTC,climate,climate
2020-01-25 00:04:00 UTC,change,change
2020-01-25 00:04:00 UTC,emissions,emissions
2020-01-25 00:04:00 UTC,reducing,reducing
2020-01-25 00:04:00 UTC,change,change
2020-01-25 00:04:00 UTC,change,change
2020-01-25 00:04:00 UTC,combat,combat
2020-01-25 00:03:00 UTC,Climate,climate
2020-01-25 00:03:00 UTC,change,change
2020-01-25 00:03:00 UTC,warming,warming
