x,January,February,March,April,May,June,July,August,September,October,November,December,y
2010,36.11,34.86,34.01,33.49,32.7,33.68,35.43,41.05,46.86,49.37,51.24,53.03,40.1525
2011,53.02,53.43,52.92,53.11,53.82,55.74,59.19,61.2,61.97,63.48,65.01,66.08,58.2475
2012,65.23,64.22,64.82,64.49,65.04,70.01,73.15,76.75,80.17,81.16,81.27,80.72,72.2525
2013,78.13,75.84,73.65,71.77,70,70.79,71.97,76.7,78.64,80.14,80.96,80.65,75.77
2014,78.47,76.11,73.88,72.81,71.38,72.62,77.37,79.69,80.45,79.71,78.5,77.16,76.5125
2015,75.27,73.33,71.06,69.6,69,68.34,69.52,72.73,74.5,73.22,71.51,68.8,71.40666667
2016,66.62,64.32,62.02,59.91,58.75,59.38,62.98,66.17,68.24,71.88,72.62,71.36,65.23909091
2017,69.32,67.26,64.88,64.11,63.15,62.17,62.55,65.41,69.94,69.69,68.5,69.33,66.35916667
2018,67.51,64.96,62.06,59.65,58.5,58.33,59.39,62.44,64.66,63.66,63.01,61.9,62.1725
2019,59.03,56.49,53.62,51.34,49.65,50.11,53.25,58.19,62.69,63.22,63.83,62.98,57.03333333
